Country,YEAR,REGION,TARGET,TEXT,ALIGNED,NOT_ALIGNED,NEUTRAL_IRRELEVANT,BORDER_CASE,EXPLANATION
Uruguay,2005,LAC,CHINA," Since then, they have already been trained in different marine areas in Argentina, Brazil, Paraguay, Chile, Peru, Trinidad and Tobago, Spain, Norway, Russia, Korea and China. 
notwithstanding that there may be reasons that seek to explainSConsidering the absence of ""Defense Books in the country"", the truth is that the rhythm that the International Community has given to this issue is far from what has been advanced at the national level. 
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. In addition, is not clear who is the subject (they who?)"
Argentina,2010,LAC,CHINA,"However, a shifting trend of the center of gravity of world power can be seen from the Euro-Atlantic core towards the Asia-Pacific basin, based on demographic, economic and geopolitical transformations. An unprecedented population aging process is taking hold worldwide and the average age of the population is growing across the board. Between 1960 and 2000, life expectancy increased slightly in the United States, Japan, and Europe, exceeding the 80-year barrier; while in the same period China practically",,,X,,The line where the text refers to China is about life-expectancy
Uruguay,2014,LAC,CHINA," highly complex or attacking the most indebted banking systems in Europe. Additionally, the world system is very vulnerable to a drop in the growth rate of the Chinese economy, given that if it were to converge to the world average, the system would have a very strong demand crisis. 
A URUGUAY 
",,,X,,Not enough info
Brazil,2012,LAC,CHINA," The Chino-Brasile  Terrestrial Resources Satellite (CBERS): in July 1988, the governments of Brazil and China signed an agreement for the development of two advanced remote sensing satellites. Thanks to the union of financial and technological resources, a system of divided responsibilities (30% Brazilian and 70% Chinese) was created, with the intention of implementing a complete system for capturing 
Basic Principles of the State ................................................................ ................................................ 16 Territory................................................. .................................................................. ............................. 17 Poblaci............................................................... .................................................................. .......................... 21 National Symbols ............................................................. .................................................................. ..... 23 Evoluci de la Poblaci.............................................................. .................................................................. 24 National Defense ..................................................................... .................................................................. ............... 26",X,,,,China-Brazil cooperation  
Nicaragua,2005,LAC,CHINA,"China-Taiwan  Armed Forces 
1. Nicaragua-State  2. Nicaragua-Scenarios  3. Nicaragua-General Guidelines 4. Nicaragua-National  Defense Organization 5. Nicaragua Defense Forces 6. Nicaragua-Economy and Defense",,,X,,"The text is a list, probably a summary"
Brazil,2016,LAC,CHINA,"Thailand, Tanzania, Uruguay, Venezuela and Zimbabwe; BRICS – Group formed by Brazil, Russia, India, China and South Africa; IBAS – Group formed by India, Brazil and South Africa; BASIC – Group formed by Brazil, South Africa, India and China. Details on the creation and purpose of these groups can be found in the Glossary. 
In compliance with the provisions of Complementary Law (LC) No. 97/1999, amended by LC No. 136/2010, the drafts of the National Defense Policy (PND), the National Defense Strategy (END) and the National Defense White Paper ( LBDN), corresponding to the 2017/2020 period, were forwarded to the National Congress for",X,,,,The text describes the BRICS (cooperation)
Brazil,2017,LAC,CHINA,"SPUTINIK Brazil. 2016: China wants to follow the example of the US and deploy military troops around the world. Available at: <https://br.sputniknews.com/asia_oceania/201608246129868-china-eua-terao-bases-  -no­djibouti/>.  Accessed on: 11 Mar. 2017. 
Ministry of Defense",,,X,,Not related to Brazil-China relations
Brazil,2012,LAC,CHINA,"countries, considering cooperation between the most economic and financial sectors. Members of the G-20: Southern Africa, Germany, Saudi Arabia, Argentina, Australia, Brazil, Canada, China, South Korea, United States, France, India, Indonesia, Italy, Japan, Mexico, United Kingdom, Russia, Turkey, European Union (Comisi Europea y Presidencia del Consejo Europeo). The members of the G-20 debate proposals for new growth and stability models of a mission of a strategic or tactical nature, combat or logistics, in training or instruction. 
67 Pandiá Calogeras Institute (IPC).................................................. ..................................................",,,X,,China is only listed among G-20 members
Ecuador,2014,LAC,CHINA," On the other hand, the transformation of international reality has marked the consolidation of other regional leaders with undeniable repercussions in the field of Defense. These are the cases of Russia and Iran: the first, recovering a political, economic and military capacity that many thought was definitively lost with the disappearance of the Soviet Union; in the case of the second, exercising an increasingly marked influence in the context of the Middle East, an extremely complex scenario, and in Central Asia, an increasingly important region due to the presence of strategic natural resources and its proximity to China and the Far East. Given the international presence of both countries, their performance in the regional context is increasingly evident, assuming in recent times, and before concrete political and economic initiatives, the role of extra-regional allies for a growing group of South American countries. 
Maria Fernanda Espinosa Garces 
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
Jamaica,2013,LAC,CHINA," Humanity depends on stable, affordable supplies of large quantities of energy, most of which is currently derived from hydrocarbons. There are now a number of pressing energy-related challenges, including sharply rising demand for oil and gas in countries such as China and India, price volatility, resource nationalism, increasing competition (and potential conflict) for resources, concerns about supply constraints and the possible approach of peak supplies of conventional oil, and concerns about carbon levels in the atmosphere and climate change. 
A VISION FOR NATIONAL SECURITY 
",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
